wavenumber(cm-1),absorption_coefficient(none),err,quality
125.3608,274.3421,0,
125.8430,276.1406,0,
126.3251,277.9645,0,
126.8073,279.8030,0,
127.2894,281.6558,0,
127.7716,283.5195,0,
128.2537,285.3788,0,
128.7359,287.2280,0,
129.2181,289.0636,0,
129.7002,290.8822,0,
130.1824,292.9244,0,
130.6645,294.8716,0,
131.1467,296.8252,0,
131.6288,298.7875,0,
132.1110,300.7512,0,
132.5932,302.7179,0,
133.0753,304.6934,0,
133.5575,306.6681,0,
134.0396,308.6431,0,
134.5218,310.6213,0,
135.0040,312.5938,0,
135.4861,314.5654,0,
135.9683,316.5419,0,
136.4504,318.5153,0,
136.9326,320.4865,0,
137.4147,322.4587,0,
137.8969,324.4320,0,
138.3790,326.4124,0,
138.8612,328.3969,0,
139.3434,330.3817,0,
139.8255,332.3714,0,
140.3077,334.3614,0,
140.7898,336.3514,0,
141.2720,338.3455,0,
141.7541,340.3342,0,
142.2363,342.3162,0,
142.7185,344.2959,0,
143.2006,346.2661,0,
143.6828,348.2284,0,
144.1649,350.1850,0,
144.6471,352.1267,0,
145.1292,354.0544,0,
145.6114,355.9685,0,
146.0936,357.8670,0,
146.5757,359.7572,0,
147.0579,361.6395,0,
147.5400,363.5107,0,
148.0222,365.3796,0,
148.5043,367.2480,0,
148.9865,369.1155,0,
149.4686,370.9878,0,
149.9508,372.8629,0,
150.4330,374.7417,0,
150.9151,376.6288,0,
151.3973,378.5182,0,
151.8794,380.4103,0,
152.3616,382.3066,0,
152.8438,384.2003,0,
153.3259,386.0951,0,
153.8081,387.9928,0,
154.2902,389.8843,0,
154.7724,391.7724,0,
155.2545,393.6605,0,
155.7367,395.5451,0,
156.2189,397.4306,0,
156.7010,399.3183,0,
157.1832,401.2069,0,
157.6653,403.1021,0,
158.1475,405.0025,0,
158.6296,406.9072,0,
159.1118,408.8219,0,
159.5940,410.7447,0,
160.0761,412.6783,0,
160.5583,414.6280,0,
161.0404,416.5870,0,
161.5226,418.5571,0,
162.0047,420.5436,0,
162.4869,422.5407,0,
162.9691,424.5488,0,
163.4512,426.5683,0,
163.9334,428.5927,0,
164.4155,430.6265,0,
164.8977,432.6702,0,
165.3798,434.7182,0,
165.8620,436.7726,0,
166.3442,438.8304,0,
166.8263,440.8869,0,
167.3085,442.9443,0,
167.7906,444.9990,0,
168.2728,447.0511,0,
168.7549,449.1058,0,
169.2371,451.1577,0,
169.7192,453.2049,0,
170.2014,455.2499,0,
170.6836,457.2897,0,
171.1657,459.3271,0,
171.6479,461.3622,0,
172.1300,463.3893,0,
172.6122,465.4139,0,
173.0943,467.4382,0,
173.5765,469.4591,0,
174.0587,471.4822,0,
174.5408,473.5050,0,
175.0230,475.5243,0,
175.5051,477.5485,0,
175.9873,479.5788,0,
176.4694,481.6153,0,
176.9516,483.6621,0,
177.4338,485.7155,0,
177.9159,487.7776,0,
178.3981,489.8545,0,
178.8802,491.9427,0,
179.3624,494.0447,0,
179.8445,496.1628,0,
180.3267,498.2930,0,
180.8089,500.4392,0,
181.2910,502.5995,0,
181.7732,504.7678,0,
182.2553,506.9475,0,
182.7375,509.1332,0,
183.2196,511.3156,0,
183.7018,513.4994,0,
184.1840,515.6826,0,
184.6661,517.8595,0,
185.1483,520.0309,0,
185.6304,522.1913,0,
186.1126,524.3409,0,
186.5947,526.4860,0,
187.0769,528.6239,0,
187.5591,530.7562,0,
188.0412,532.8841,0,
188.5234,535.0047,0,
189.0055,537.1251,0,
189.4877,539.2469,0,
189.9698,541.3618,0,
190.4520,543.4727,0,
190.9341,545.5788,0,
191.4163,547.6766,0,
191.8985,549.7697,0,
192.3806,551.8521,0,
192.8628,553.9208,0,
193.3449,555.9843,0,
193.8271,558.0373,0,
194.3092,560.0748,0,
194.7914,562.1033,0,
195.2736,564.1190,0,
195.7557,566.1197,0,
196.2379,568.1077,0,
196.7200,570.0788,0,
197.2022,572.0348,0,
197.6843,573.9796,0,
198.1665,575.9136,0,
198.6487,577.8432,0,
199.1308,579.7692,0,
199.6130,581.6895,0,
200.0951,583.6116,0,
200.5773,585.5335,0,
201.0594,587.4546,0,
201.5416,589.3870,0,
202.0238,591.3303,0,
202.5059,593.2820,0,
202.9881,595.2487,0,
203.4702,597.2283,0,
203.9524,599.2226,0,
204.4346,601.2384,0,
204.9167,603.2720,0,
205.3989,605.3255,0,
205.8810,607.4014,0,
206.3632,609.4934,0,
206.8453,611.6015,0,
207.3275,613.7238,0,
207.8097,615.8505,0,
208.2918,617.9796,0,
208.7740,620.1047,0,
209.2561,622.2197,0,
209.7383,624.3272,0,
210.2204,626.4177,0,
210.7026,628.4825,0,
211.1847,630.5256,0,
211.6669,632.5429,0,
212.1491,634.5336,0,
212.6312,636.5048,0,
213.1134,638.4570,0,
213.5955,640.3977,0,
214.0777,642.3375,0,
214.5598,644.2758,0,
215.0420,646.2147,0,
215.5242,648.1575,0,
216.0063,650.1052,0,
216.4885,652.0625,0,
216.9706,654.0267,0,
217.4528,655.9937,0,
217.9349,657.9673,0,
218.4171,659.9390,0,
218.8993,661.8995,0,
219.3814,663.8516,0,
219.8636,665.7899,0,
220.3457,667.7112,0,
220.8279,669.6188,0,
221.3100,671.5044,0,
221.7922,673.3657,0,
222.2743,675.2107,0,
222.7565,677.0414,0,
223.2387,678.8614,0,
223.7208,680.6746,0,
