wavenumber(cm-1),absorption_coefficient(none),err,quality
148.0222,268.2628,0,
148.5043,269.6310,0,
148.9865,270.9912,0,
149.4686,272.3463,0,
149.9508,273.6985,0,
150.4330,275.0474,0,
150.9151,276.3959,0,
151.3973,277.7410,0,
151.8794,279.0807,0,
152.3616,280.4198,0,
152.8438,281.7612,0,
153.3259,283.1063,0,
153.8081,284.4546,0,
154.2902,285.8025,0,
154.7724,287.1525,0,
155.2545,288.5084,0,
155.7367,289.8703,0,
156.2189,291.2393,0,
156.7010,292.6143,0,
157.1832,293.9929,0,
157.6653,295.3794,0,
158.1475,296.7775,0,
158.6296,298.1879,0,
159.1118,299.6125,0,
159.5940,301.0505,0,
160.0761,302.5043,0,
160.5583,303.9794,0,
161.0404,305.4745,0,
161.5226,306.9877,0,
162.0047,308.5192,0,
162.4869,310.0672,0,
162.9691,311.6327,0,
163.4512,313.2172,0,
163.9334,314.8170,0,
164.4155,316.4289,0,
164.8977,318.0514,0,
165.3798,319.6836,0,
165.8620,321.3258,0,
166.3442,322.9746,0,
166.8263,324.6263,0,
167.3085,326.2809,0,
167.7906,327.9368,0,
168.2728,329.5959,0,
168.7549,331.2621,0,
169.2371,332.9322,0,
169.7192,334.6052,0,
170.2014,336.2853,0,
170.6836,337.9745,0,
171.1657,339.6725,0,
171.6479,341.3799,0,
172.1300,343.0975,0,
172.6122,344.8278,0,
173.0943,346.5725,0,
173.5765,348.3292,0,
174.0587,350.0952,0,
174.5408,351.8697,0,
175.0230,353.6535,0,
175.5051,355.4491,0,
175.9873,357.2560,0,
176.4694,359.0731,0,
176.9516,360.8995,0,
177.4338,362.7334,0,
177.9159,364.5759,0,
178.3981,366.4287,0,
178.8802,368.2902,0,
179.3624,370.1596,0,
179.8445,372.0368,0,
180.3267,373.9219,0,
180.8089,375.8189,0,
181.2910,377.7296,0,
181.7732,379.6486,0,
182.2553,381.5720,0,
182.7375,383.5006,0,
183.2196,385.4371,0,
183.7018,387.3836,0,
184.1840,389.3392,0,
184.6661,391.3010,0,
185.1483,393.2681,0,
185.6304,395.2427,0,
186.1126,397.2285,0,
186.5947,399.2251,0,
187.0769,401.2278,0,
187.5591,403.2353,0,
188.0412,405.2476,0,
188.5234,407.2640,0,
189.0055,409.2861,0,
189.4877,411.3134,0,
189.9698,413.3416,0,
190.4520,415.3694,0,
190.9341,417.3989,0,
191.4163,419.4298,0,
191.8985,421.4584,0,
192.3806,423.4803,0,
192.8628,425.4932,0,
193.3449,427.4964,0,
193.8271,429.4885,0,
194.3092,431.4692,0,
194.7914,433.4359,0,
195.2736,435.3853,0,
195.7557,437.3165,0,
196.2379,439.2299,0,
196.7200,441.1266,0,
197.2022,443.0076,0,
197.6843,444.8732,0,
198.1665,446.7221,0,
198.6487,448.5564,0,
199.1308,450.3806,0,
199.6130,452.1971,0,
200.0951,454.0074,0,
200.5773,455.8139,0,
201.0594,457.6188,0,
201.5416,459.4252,0,
202.0238,461.2366,0,
202.5059,463.0540,0,
202.9881,464.8773,0,
203.4702,466.7117,0,
203.9524,468.5629,0,
204.4346,470.4311,0,
204.9167,472.3177,0,
205.3989,474.2283,0,
205.8810,476.1678,0,
206.3632,478.1400,0,
206.8453,480.1476,0,
207.3275,482.1887,0,
207.8097,484.2626,0,
208.2918,486.3726,0,
208.7740,488.5206,0,
209.2561,490.7045,0,
209.7383,492.9212,0,
210.2204,495.1699,0,
210.7026,497.4505,0,
211.1847,499.7627,0,
211.6669,502.1030,0,
212.1491,504.4646,0,
212.6312,506.8396,0,
213.1134,509.2237,0,
213.5955,511.6144,0,
214.0777,514.0096,0,
214.5598,516.4094,0,
215.0420,518.8131,0,
215.5242,521.2181,0,
216.0063,523.6265,0,
216.4885,526.0433,0,
216.9706,528.4706,0,
217.4528,530.9077,0,
217.9349,533.3524,0,
218.4171,535.8036,0,
218.8993,538.2621,0,
219.3814,540.7290,0,
219.8636,543.2051,0,
220.3457,545.6869,0,
220.8279,548.1693,0,
221.3100,550.6512,0,
