wavenumber(cm-1),absorption_coefficient(none),err,quality
216.4885,457.8379,0,
216.9706,457.8914,0,
217.4528,460.8354,0,
217.9349,463.7886,0,
218.4171,464.0478,0,
218.8993,467.1000,0,
219.3814,469.3651,0,
219.8636,470.1296,0,
220.3457,473.8124,0,
220.8279,475.3520,0,
221.3100,476.1526,0,
221.7922,480.1374,0,
222.2743,481.7644,0,
222.7565,483.2068,0,
223.2387,486.4246,0,
223.7208,486.7526,0,
224.2030,488.4778,0,
224.6851,491.7392,0,
225.1673,492.3016,0,
225.6495,494.8744,0,
226.1316,497.6539,0,
226.6138,498.1427,0,
227.0959,501.6290,0,
227.5781,504.3669,0,
228.0602,505.0970,0,
228.5424,508.6652,0,
229.0246,510.3257,0,
229.5067,510.9895,0,
229.9889,514.7983,0,
230.4710,516.1506,0,
230.9532,516.9627,0,
231.4353,520.1036,0,
231.9175,521.0343,0,
232.3997,523.2814,0,
232.8818,526.8640,0,
233.3640,527.1159,0,
233.8461,529.0438,0,
234.3283,531.9111,0,
234.8104,532.6655,0,
235.2926,535.8671,0,
235.7748,537.9867,0,
236.2569,537.6141,0,
236.7391,540.3857,0,
237.2212,542.5708,0,
237.7034,544.0294,0,
238.1855,548.1968,0,
238.6677,549.7477,0,
239.1498,550.7621,0,
239.6320,554.5435,0,
240.1142,555.9764,0,
240.5963,557.9307,0,
241.0785,561.4434,0,
241.5606,561.8868,0,
242.0428,563.7374,0,
242.5249,566.9877,0,
243.0071,568.2453,0,
243.4893,571.6384,0,
243.9714,574.3695,0,
244.4536,574.8433,0,
244.9357,577.9064,0,
245.4179,579.8550,0,
245.9000,581.3256,0,
246.3822,585.9328,0,
246.8644,587.6491,0,
247.3465,588.2685,0,
247.8287,591.7239,0,
248.3108,592.9683,0,
248.7930,594.8082,0,
249.2751,598.9685,0,
249.7573,600.5801,0,
250.2395,602.8972,0,
250.7216,605.6417,0,
251.2038,606.2748,0,
251.6859,609.2163,0,
252.1681,611.4670,0,
252.6502,611.4680,0,
253.1324,614.3909,0,
253.6146,616.8697,0,
254.0967,618.6709,0,
254.5789,623.1381,0,
255.0610,624.8921,0,
255.5432,625.8493,0,
256.0253,629.5705,0,
256.5075,630.8406,0,
256.9896,632.7630,0,
257.4718,636.8413,0,
257.9540,637.9902,0,
258.4361,640.3656,0,
258.9183,643.7349,0,
259.4004,644.1465,0,
259.8826,646.8354,0,
260.3648,642.4697,0,
260.8469,644.7860,0,
261.3291,648.0233,0,
261.8112,650.9216,0,
262.2934,653.2786,0,
262.7755,657.6234,0,
263.2577,661.0109,0,
263.7398,663.4878,0,
264.2220,667.5297,0,
264.7042,669.0084,0,
265.1863,670.3854,0,
265.6685,672.8392,0,
266.1506,673.6242,0,
266.6328,675.7492,0,
267.1150,679.1833,0,
267.5971,682.2397,0,
268.0793,685.8329,0,
268.5614,689.4740,0,
269.0436,691.8106,0,
269.5257,695.4153,0,
270.0079,697.8348,0,
270.9722,699.3673,0,
271.9365,700.6126,0,
272.9008,703.4646,0,
273.8652,707.9811,0,
274.8295,714.5891,0,
275.7938,722.1917,0,
276.7581,728.0667,0,
277.7224,732.6434,0,
278.6867,737.9311,0,
279.6510,743.0831,0,
280.6153,747.2832,0,
281.5797,751.2200,0,
282.5440,755.6399,0,
283.5083,760.8082,0,
284.4726,766.0727,0,
285.4369,770.4838,0,
286.4012,773.8637,0,
287.3655,776.5850,0,
288.3299,779.8886,0,
289.2942,785.6345,0,
290.2585,792.0662,0,
291.2228,796.4163,0,
292.1871,800.3687,0,
293.1514,804.8267,0,
294.1157,809.0324,0,
295.0801,813.7250,0,
296.0444,819.0353,0,
297.0087,824.5223,0,
297.9730,829.8116,0,
298.9373,834.3447,0,
299.9016,837.6814,0,
300.8659,840.1146,0,
301.8302,844.3589,0,
302.7946,848.6508,0,
303.7589,852.9228,0,
304.7232,857.1742,0,
305.6875,861.4039,0,
306.6518,865.6111,0,
307.6161,869.7948,0,
308.5804,873.9541,0,
309.5448,878.0881,0,
310.5091,882.1959,0,
311.4734,886.2765,0,
312.4377,890.3291,0,
313.4020,894.3526,0,
314.3663,897.2740,0,
315.3306,903.2895,0,
316.2950,909.1225,0,
317.2593,914.5250,0,
318.2236,918.8341,0,
319.1879,920.9131,0,
320.1522,922.7218,0,
321.1165,925.9908,0,
322.0808,930.3191,0,
323.0452,934.5542,0,
324.0095,938.0547,0,
324.9738,941.3433,0,
325.9381,945.0063,0,
326.9024,948.5415,0,
327.8667,950.8766,0,
328.8310,952.9911,0,
329.7953,955.7887,0,
330.7597,958.6504,0,
331.7240,961.5199,0,
332.6883,964.8537,0,
333.6526,968.2838,0,
334.6169,971.9836,0,
335.5812,975.8694,0,
336.5455,979.3932,0,
337.5099,984.1196,0,
338.4742,989.9478,0,
339.4385,994.2226,0,
340.4028,997.1900,0,
341.3671,1000.4607,0,
342.3314,1002.8834,0,
343.2957,1004.6893,0,
344.2601,1008.5184,0,
345.2244,1012.9584,0,
346.1887,1015.4397,0,
347.1530,1016.9673,0,
348.1173,1019.0075,0,
349.0816,1021.2021,0,
350.0460,1023.2806,0,
351.0103,1026.9353,0,
351.9746,1031.6963,0,
352.9389,1035.9598,0,
353.9032,1039.5667,0,
354.8675,1042.4181,0,
355.8318,1044.1387,0,
356.7961,1045.6774,0,
357.7605,1049.9357,0,
358.7248,1056.9154,0,
359.6891,1060.9379,0,
360.6534,1060.1571,0,
361.6177,1060.3757,0,
362.5820,1063.5028,0,
363.5463,1066.4192,0,
364.5107,1069.0289,0,
365.4750,1071.4241,0,
366.4393,1073.5717,0,
367.4036,1077.2771,0,
368.3679,1081.6325,0,
369.3322,1085.1744,0,
370.2965,1088.6640,0,
371.2609,1091.4576,0,
372.2252,1093.0664,0,
373.1895,1094.8067,0,
374.1538,1096.9699,0,
375.1181,1099.7206,0,
376.0824,1102.8034,0,
377.0467,1105.0807,0,
378.0111,1106.4820,0,
378.9754,1107.9178,0,
379.9397,1110.1734,0,
380.9040,1112.7289,0,
381.8683,1114.7647,0,
382.8326,1116.7714,0,
383.7969,1119.5409,0,
384.7613,1122.7481,0,
385.7256,1125.2345,0,
386.6899,1127.3609,0,
387.6542,1130.0582,0,
388.6185,1132.7624,0,
389.5828,1134.9039,0,
390.5471,1137.3183,0,
391.5114,1140.6471,0,
392.4758,1144.1890,0,
393.4401,1147.4377,0,
394.4044,1150.3905,0,
395.3687,1153.0789,0,
396.3330,1155.6033,0,
397.2973,1158.0995,0,
398.2616,1160.3957,0,
399.2260,1162.2156,0,
400.1903,1163.7977,0,
401.1546,1165.4166,0,
402.1189,1167.0726,0,
403.0832,1168.9040,0,
404.0475,1170.9811,0,
405.0118,1173.2359,0,
405.9762,1175.7043,0,
406.9405,1178.6322,0,
407.9048,1181.9882,0,
408.8691,1185.3899,0,
409.8334,1188.0277,0,
410.7977,1189.7898,0,
411.7620,1191.7315,0,
412.7264,1194.3142,0,
413.6907,1197.2583,0,
414.6550,1200.4600,0,
